,Method 1,Method 2,True_label,mName
0,BIANCA,BIANCA,BIANCA,10 things i hate about you
1,BRUCE,BRUCE,BRUCE,10 things i hate about you
2,CAMERON,CAMERON,CAMERON,10 things i hate about you
3,DEREK,CHASTITY,CHASTITY,10 things i hate about you
4,JOEY,JOEY,DEREK,10 things i hate about you
5,MICHAEL,KAT,JOEY,10 things i hate about you
6,NEARBY,MANDELLA,KAT,10 things i hate about you
7,PATRICK,MICHAEL,MANDELLA,10 things i hate about you
8,RIDER,PATRICK,MICHAEL,10 things i hate about you
9,SCURVY,SHARON,PATRICK,10 things i hate about you
10,SHARON,WALTER,SHARON,10 things i hate about you
11,SKIPPY,None,WALTER,10 things i hate about you
12,TREVOR,None,None,10 things i hate about you
